date_stolen,make_name,make_type,vehicle_type,model_year,vehicle_color,region,population,population_density
10/7/2021,Trailer,Standard,Boat Trailer,2004,White,Bay of Plenty,347700,28.8
10/7/2021,Trailer,Standard,Trailer,2007,Black,Waikato,513800,21.5
10/7/2021,BMW,Luxury,Roadbike,2017,White,Auckland,1695200,343.09
10/7/2021,Ford,Standard,Saloon,2006,Grey,Wellington,543500,67.52
10/7/2021,Toyota,Standard,Light Van,2008,Silver,Otago,246000,7.89
10/7/2021,Nissan,Standard,Flat Deck Truck,1998,White,Auckland,1695200,343.09
10/7/2021,Honda,Standard,Saloon,1998,Red,Northland,201500,16.11
10/7/2021,Holden,Standard,Saloon,2006,Black,Auckland,1695200,343.09
10/7/2021,Toyota,Standard,Stationwagon,2018,White,Auckland,1695200,343.09
10/7/2021,BMW,Luxury,Saloon,2000,Red,Wellington,543500,67.52
10/7/2021,Mitsubishi,Standard,Stationwagon,2001,Silver,Canterbury,655000,14.72
10/7/2021,Isuzu,Standard,Stationwagon,1996,Green,Bay of Plenty,347700,28.8
10/7/2021,Mitsubishi,Standard,Utility,1990,Grey,Manawatū-Whanganui,258200,11.62
10/7/2021,Trailer,Standard,Trailer,2012,Silver,Canterbury,655000,14.72
10/7/2021,Trailer,Standard,Trailer,2013,Grey,Auckland,1695200,343.09
10/7/2021,Toyota,Standard,Saloon,1997,White,Hawke's Bay,182700,12.92
10/8/2021,Trailer,Standard,Trailer,2018,Silver,Hawke's Bay,182700,12.92
10/8/2021,Custombuilt,Standard,Boat Trailer,2020,Silver,Auckland,1695200,343.09
10/8/2021,Nissan,Standard,Stationwagon,1992,Blue,Otago,246000,7.89
10/8/2021,Nissan,Standard,Saloon,1991,Black,Otago,246000,7.89
10/8/2021,Subaru,Standard,Stationwagon,1993,Red,Wellington,543500,67.52
10/8/2021,TNT Motor,Standard,Moped,2019,Black,Wellington,543500,67.52
10/8/2021,Moped,Standard,Moped,2016,Red,Auckland,1695200,343.09
10/8/2021,Toyota,Standard,Utility,2002,Brown,Bay of Plenty,347700,28.8
10/8/2021,Holden,Standard,Saloon,2003,Green,Northland,201500,16.11
10/8/2021,Toyota,Standard,Other Truck,1995,White,Bay of Plenty,347700,28.8
10/8/2021,Toyota,Standard,Saloon,2001,White,Auckland,1695200,343.09
10/8/2021,Kawasaki,Standard,Roadbike,2020,Black,Auckland,1695200,343.09
10/8/2021,Mazda,Standard,Utility,2005,White,Auckland,1695200,343.09
10/8/2021,Ford,Standard,Utility,2005,Grey,Bay of Plenty,347700,28.8
10/8/2021,Mazda,Standard,Utility,2005,White,Bay of Plenty,347700,28.8
10/8/2021,Toyota,Standard,Utility,1994,Blue,Wellington,543500,67.52
10/8/2021,Nissan,Standard,Light Van,2002,White,Auckland,1695200,343.09
10/8/2021,Holden,Standard,Utility,1994,Grey,Bay of Plenty,347700,28.8
10/8/2021,Mazda,Standard,Saloon,2003,Silver,Manawatū-Whanganui,258200,11.62
10/8/2021,Honda,Standard,Stationwagon,1999,White,Waikato,513800,21.5
10/8/2021,Nissan,Standard,Utility,2008,Black,Bay of Plenty,347700,28.8
10/8/2021,Trailer,Standard,Trailer,2008,Grey,Nelson,54500,129.15
10/8/2021,Mazda,Standard,Stationwagon,2008,Silver,Northland,201500,16.11
10/8/2021,Toyota,Standard,Saloon,2008,Silver,Auckland,1695200,343.09
10/8/2021,Toyota,Standard,Saloon,2008,Silver,Auckland,1695200,343.09
10/8/2021,Toyota,Standard,Light Bus,2019,White,Auckland,1695200,343.09
10/8/2021,BMW,Luxury,Saloon,2006,White,Bay of Plenty,347700,28.8
10/9/2021,Hyosung,Standard,Roadbike,2007,Yellow,Hawke's Bay,182700,12.92
10/9/2021,Trailer,Standard,Trailer,2009,Silver,Waikato,513800,21.5
10/9/2021,Vespa,Standard,Roadbike,2013,Red,Auckland,1695200,343.09
10/9/2021,Honda,Standard,Saloon,2005,Grey,Northland,201500,16.11
10/9/2021,Isuzu,Standard,Stationwagon,1996,Green,Bay of Plenty,347700,28.8
